Target,Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Admission grade,Tuition fees up to date,Curricular units 2nd sem (evaluations),Previous qualification (grade),Age at enrollment,Curricular units 1st sem (evaluations),Course,Father's occupation,Mother's occupation,GDP,Unemployment rate,Application mode,Father's qualification,Inflation rate,Mother's qualification,Curricular units 2nd sem (enrolled),Curricular units 1st sem (enrolled),Scholarship holder,Application order,Debtor,Gender
Dropout,0.0,6.8750000049999995,3.0,11.33333333,155.0,1.0,5.0,133.1,22.0,6.0,9670.0,7.0,1.0,-3.12,9.4,1.0,1.0,-0.8,3.0,5.0,5.0,0,1.0,0,0.0
Graduate,7.0,12.28571429,7.0,12.75,100.0,1.0,7.0,133.1,26.0,11.0,8378.5,7.0,1.0,-0.92,16.2,1.0,1.0,0.3,3.0,7.0,8.0,0,1.0,0,0.0
Graduate,5.0,11.25,5.0,12.6,137.6,1.0,8.0,160.0,19.0,6.0,9147.0,8.0,5.0,1.74,10.8,18.0,19.0,1.4,19.0,5.0,5.0,1,1.0,0,0.0
Dropout,6.0,12.25,6.0,12.25,120.0,1.0,8.0,120.0,29.0,8.0,9500.0,2.0,4.0,-1.7,12.7,7.0,3.0,3.7,19.0,8.0,8.0,0,1.0,0,0.0
Enrolled,2.0,11.66666667,0.0,7.3999999999999995,114.0,1.0,12.0,114.0,20.0,14.0,9556.0,16.5,16.5,3.51,8.9,15.0,19.0,1.4,3.0,7.0,7.0,0,1.0,0,0.0
Enrolled,5.0,11.4,5.0,11.0,139.0,1.0,7.0,140.0,34.0,8.0,9991.0,7.0,9.0,-3.12,9.4,1.0,37.0,-0.8,37.0,5.0,5.0,1,1.0,0,0.0
Graduate,9.0,12.7,10.5,11.83333333,110.0,1.0,16.0,102.5,34.0,16.0,9003.0,5.0,9.0,-4.06,15.5,39.0,37.0,2.8,37.0,10.0,10.0,0,1.0,0,0.0
Dropout,6.0,13.06666667,6.0,13.06666667,128.5,1.0,10.0,139.0,19.0,10.0,9500.0,9.0,4.0,-1.7,12.7,1.0,38.0,3.7,19.0,8.0,8.0,0,3.5,0,0.0
Graduate,6.0,13.875,6.0,13.83333333,132.2,1.0,8.0,136.0,19.0,6.0,9070.0,5.0,4.0,1.74,10.8,1.0,38.0,1.4,1.0,6.0,6.0,0,1.0,1,0.0
Dropout,0.0,6.8750000049999995,3.0,13.83333333,130.0,1.0,7.0,130.0,34.0,7.0,9500.0,3.0,2.0,-0.92,16.2,7.0,19.0,0.3,3.0,7.0,7.0,0,1.0,0,0.0
Graduate,5.0,13.2,5.0,11.8,129.3,1.0,5.0,145.0,19.0,5.0,9130.0,7.0,9.0,1.74,10.8,17.0,37.0,1.4,38.0,5.0,5.0,0,1.0,0,0.0
Enrolled,10.0,12.81818182,10.5,13.33333333,128.2,1.0,15.0,133.1,19.0,12.0,8378.5,8.0,9.0,3.51,8.9,1.0,38.0,1.4,19.0,10.0,10.0,1,1.0,0,1.0
Graduate,8.0,13.74625,8.0,13.74625,130.3,1.0,8.0,146.0,18.0,8.0,9500.0,9.0,3.0,-3.12,9.4,1.0,19.0,-0.8,2.0,8.0,8.0,0,3.5,0,1.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,160.15000000000003,1.0,0.0,159.0,19.0,0.0,8378.5,2.0,2.0,-0.92,16.2,1.0,3.0,0.3,3.0,2.0,2.0,0,1.0,0,1.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,130.0,1.0,0.0,133.1,34.0,0.0,8378.5,0.0,0.0,-3.12,9.4,39.0,34.0,-0.8,34.0,6.0,6.0,0,1.0,0,1.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,110.0,1.0,6.0,110.0,34.0,9.0,9130.0,8.0,4.0,-0.92,16.2,7.0,19.0,0.3,19.0,6.0,6.0,0,1.0,0,1.0
Graduate,5.0,14.5,6.0,13.33333333,142.3,1.0,10.0,120.0,26.0,6.0,9670.0,10.0,4.0,1.74,10.8,39.0,19.0,1.4,1.0,6.0,6.0,1,1.0,0,0.0
Enrolled,5.0,11.4,1.0,10.0,122.0,1.0,13.0,130.0,21.0,8.0,9238.0,9.0,9.0,-1.7,12.7,17.0,37.0,3.7,37.0,6.0,6.0,1,1.0,0,0.0
Graduate,6.0,15.28571429,6.0,15.66666667,153.6,1.0,8.0,158.0,18.0,7.0,9085.0,9.0,9.0,3.51,8.9,1.0,19.0,1.4,1.0,6.0,6.0,1,3.0,0,0.0
Graduate,7.0,11.85714286,7.0,11.85714286,112.9,1.0,7.0,122.0,18.0,9.0,9853.0,3.0,2.0,-0.92,16.2,1.0,19.0,0.3,3.0,7.0,7.0,0,1.0,0,0.0
Graduate,5.0,13.6,5.0,14.5,124.1,1.0,5.0,140.0,18.0,12.0,9085.0,4.0,2.0,-3.12,9.4,1.0,1.0,-0.8,3.0,5.0,5.0,0,1.0,0,0.0
Graduate,6.0,13.71428571,6.0,12.16666667,129.7,1.0,7.0,136.0,19.0,6.0,9238.0,4.0,9.0,-4.06,15.5,17.0,1.0,2.8,38.0,6.0,6.0,0,1.0,0,0.0
Graduate,6.0,12.0,5.0,12.6,110.0,1.0,8.0,111.0,18.0,6.0,9773.0,9.0,9.0,2.02,11.1,1.0,19.0,0.6,19.0,6.0,6.0,0,1.0,0,0.0
Enrolled,7.0,12.28571429,7.0,12.28571429,136.3,1.0,12.0,145.0,18.0,12.0,9500.0,8.0,3.0,-1.7,12.7,17.0,38.0,3.7,2.0,8.0,8.0,0,2.0,0,0.0
Graduate,6.0,13.0,6.0,12.66666667,146.0,1.0,7.0,133.1,19.0,6.0,9238.0,16.5,16.5,3.51,8.9,17.0,38.0,1.4,38.0,6.0,6.0,1,1.0,1,0.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,129.9,1.0,0.0,140.0,19.0,0.0,9500.0,8.0,7.0,-0.92,16.2,1.0,38.0,0.3,19.0,8.0,7.0,0,1.0,0,0.0
Graduate,4.0,13.0,6.0,12.85714286,140.9,1.0,10.0,140.0,18.0,7.0,9254.0,8.0,9.0,-1.7,12.7,1.0,1.0,3.7,19.0,6.0,6.0,1,1.0,0,0.0
Graduate,7.0,13.9,7.0,13.9,135.5,1.0,8.0,156.0,18.0,8.0,9500.0,10.0,9.0,-1.7,12.7,1.0,1.0,3.7,1.0,8.0,8.0,0,1.0,0,0.0
Graduate,7.0,13.81714286,7.0,13.81714286,122.0,1.0,8.0,132.0,20.0,8.0,9500.0,7.0,9.0,1.74,10.8,1.0,37.0,1.4,38.0,8.0,8.0,1,1.0,0,0.0
Graduate,7.0,12.875,6.0,13.31428571,140.0,1.0,10.0,140.0,22.0,10.0,9556.0,5.0,4.0,3.51,8.9,53.0,19.0,1.4,1.0,8.0,7.0,1,1.0,0,0.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,160.15000000000003,1.0,0.0,162.5,18.0,0.0,9130.0,0.0,0.0,0.32,7.6,1.0,1.0,2.6,34.0,6.0,6.0,0,1.0,0,0.0
Graduate,6.0,12.16666667,6.0,12.16666667,107.4,1.0,6.0,113.0,19.0,6.0,9254.0,7.0,7.0,1.79,12.4,17.0,19.0,0.5,38.0,6.0,6.0,1,3.5,0,0.0
Dropout,3.0,11.33333333,4.0,11.25,114.3,0.0,12.0,122.0,20.0,12.0,9254.0,9.0,9.0,0.32,7.6,1.0,37.0,2.6,37.0,6.0,6.0,1,1.0,0,0.0
Enrolled,6.0,12.75,5.0,12.4,140.8,1.0,8.0,150.0,19.0,6.0,9070.0,2.0,3.0,1.74,10.8,43.0,3.0,1.4,2.0,6.0,6.0,0,1.0,0,0.0
Graduate,6.0,14.57142857,6.0,14.66666667,126.3,1.0,7.0,135.0,20.0,6.0,9773.0,5.0,5.0,3.51,8.9,1.0,37.0,1.4,37.0,6.0,6.0,1,2.0,0,0.0
Dropout,4.0,12.0,4.0,12.0,110.0,1.0,14.0,133.1,28.0,15.0,9085.0,9.0,2.0,2.02,11.1,39.0,19.0,0.6,3.0,6.0,6.0,0,1.0,0,0.0
Graduate,3.0,12.66666667,6.0,14.0,126.2,1.0,16.0,122.0,19.0,8.0,9085.0,16.5,16.5,1.79,12.4,1.0,1.0,0.5,1.0,6.0,6.0,0,2.0,0,0.0
Enrolled,4.0,13.66666667,6.0,12.57142857,140.0,1.0,12.0,140.0,22.0,10.0,9003.0,5.0,5.0,-4.06,15.5,42.0,1.0,2.8,19.0,6.0,6.0,0,1.0,0,0.0
Graduate,6.0,12.625,6.0,15.53846154,123.0,1.0,9.0,138.0,19.0,14.0,9085.0,1.0,9.0,-4.06,15.5,1.0,3.0,2.8,1.0,6.0,6.0,0,1.0,0,0.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,157.0,0.0,0.0,130.0,18.0,0.0,9773.0,5.0,5.0,0.79,13.9,1.0,19.0,-0.3,19.0,6.0,6.0,0,3.0,0,0.0
Graduate,6.0,14.83333333,6.0,15.0,149.7,1.0,6.0,157.0,18.0,6.0,9130.0,2.0,2.0,3.51,8.9,5.0,43.0,1.4,5.0,6.0,6.0,0,1.0,0,0.0
Graduate,5.0,13.28571429,4.0,12.25,140.0,1.0,9.0,140.0,22.0,11.0,9130.0,3.0,2.0,-1.7,12.7,43.0,1.0,3.7,2.0,5.0,5.0,0,1.0,0,0.0
Graduate,9.0,15.55555556,10.5,15.69230769,160.15000000000003,1.0,9.0,162.5,20.0,13.0,9085.0,7.0,4.0,3.51,8.9,53.0,19.0,1.4,1.0,9.0,10.0,0,1.0,0,0.0
Graduate,5.0,12.75,5.0,12.28571429,130.2,1.0,9.0,150.0,24.0,7.0,9991.0,7.0,9.0,-0.92,16.2,39.0,37.0,0.3,1.0,5.0,5.0,1,1.0,0,0.0
Enrolled,11.0,11.25,10.5,11.83333333,135.5,1.0,16.0,146.0,22.0,16.0,8378.5,9.0,9.0,2.02,11.1,17.0,38.0,0.6,1.0,10.0,10.0,0,1.0,1,0.0
Enrolled,5.0,14.0,6.0,12.16666667,118.3,1.0,7.0,120.0,20.0,6.0,8378.5,4.0,5.0,-1.7,12.7,43.0,19.0,3.7,38.0,6.0,6.0,0,1.0,0,0.0
Graduate,8.0,11.95625,7.0,11.88888889,116.3,1.0,10.0,118.0,20.0,10.0,9556.0,9.0,9.0,-1.7,12.7,1.0,38.0,3.7,19.0,8.0,7.0,1,1.0,0,0.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,120.0,0.0,0.0,120.0,34.0,0.0,8378.5,9.0,9.0,1.74,10.8,7.0,1.0,1.4,38.0,6.0,6.0,0,1.0,0,0.0
Graduate,5.0,12.6,5.0,11.8,154.7,1.0,5.0,154.0,18.0,6.0,9670.0,7.0,5.0,-3.12,9.4,1.0,1.0,-0.8,1.0,5.0,5.0,1,1.0,0,0.0
Graduate,6.0,11.66666667,6.0,11.16666667,132.7,1.0,9.0,139.0,19.0,7.0,9238.0,3.0,3.0,-3.12,9.4,17.0,3.0,-0.8,2.0,6.0,6.0,0,2.0,0,0.0
Graduate,8.0,14.6,7.0,14.05714286,130.8,1.0,9.0,136.0,18.0,7.0,9500.0,3.0,3.0,-0.92,16.2,18.0,3.0,0.3,3.0,8.0,7.0,0,1.0,0,0.0
Dropout,4.0,10.0,4.0,11.75,122.7,1.0,13.0,130.0,18.0,10.0,9254.0,9.0,4.0,0.32,7.6,1.0,38.0,2.6,1.0,6.0,6.0,0,2.0,0,0.0
Enrolled,6.0,13.0,6.0,13.16666667,130.0,1.0,8.0,133.1,31.0,6.0,9238.0,6.0,4.0,-3.12,9.4,39.0,2.0,-0.8,1.0,6.0,6.0,0,1.0,0,0.0
Graduate,6.0,14.0,6.0,13.5,123.6,1.0,7.0,133.0,19.0,7.0,9238.0,7.0,5.0,-4.06,15.5,17.0,19.0,2.8,19.0,6.0,6.0,1,1.0,0,0.0
Graduate,8.0,13.0625,7.0,12.625,116.5,1.0,8.0,143.0,20.0,10.0,9500.0,9.0,4.0,-4.06,15.5,18.0,37.0,2.8,38.0,8.0,7.0,1,1.0,0,0.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,111.1,1.0,0.0,117.0,21.0,0.0,9085.0,7.0,5.0,-4.06,15.5,17.0,38.0,2.8,19.0,6.0,6.0,0,3.0,0,0.0
Graduate,7.0,13.97142857,7.0,13.97142857,136.3,1.0,8.0,145.0,18.0,8.0,9500.0,7.0,9.0,-1.7,12.7,1.0,38.0,3.7,19.0,8.0,8.0,1,3.0,0,0.0
Dropout,0.0,6.8750000049999995,2.0,11.0,129.8,1.0,0.0,134.0,18.0,7.0,9070.0,7.0,5.0,-3.12,9.4,1.0,1.0,-0.8,34.0,6.0,6.0,0,3.5,0,0.0
Graduate,5.0,15.33333333,5.0,12.8,134.7,1.0,6.0,162.5,33.0,5.0,9991.0,8.0,4.0,1.74,10.8,39.0,19.0,1.4,38.0,5.0,5.0,0,1.0,0,0.0
Enrolled,5.0,12.8,6.0,13.57142857,131.8,1.0,6.0,143.0,18.0,8.0,9670.0,7.0,9.0,1.79,12.4,1.0,37.0,0.5,37.0,6.0,6.0,1,2.0,0,0.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,126.8,0.0,0.0,140.0,18.0,0.0,8378.5,9.0,7.0,-1.7,12.7,1.0,37.0,3.7,37.0,2.0,2.0,1,1.0,0,0.0
Enrolled,4.0,11.0,2.0,11.5,130.7,1.0,13.0,131.0,21.0,9.0,9085.0,6.0,9.0,1.74,10.8,1.0,37.0,1.4,37.0,5.0,5.0,0,1.0,1,0.0
Enrolled,4.0,12.0,4.0,11.25,109.8,1.0,8.0,115.0,19.0,8.0,9254.0,5.0,5.0,1.74,10.8,17.0,19.0,1.4,37.0,6.0,6.0,0,3.0,0,0.0
Graduate,5.0,13.14285714,5.0,13.71428571,133.9,1.0,7.0,130.0,28.0,7.0,9991.0,3.0,2.0,-0.92,16.2,7.0,19.0,0.3,3.0,5.0,5.0,0,1.0,0,0.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,109.9,0.0,0.0,130.0,29.0,4.0,9147.0,9.0,9.0,-1.7,12.7,39.0,19.0,3.7,1.0,5.0,4.0,0,1.0,0,0.0
Dropout,3.0,14.66666667,6.0,12.0,160.0,0.0,8.0,160.0,34.0,9.0,9130.0,3.0,3.0,1.79,12.4,44.0,37.0,0.5,1.0,6.0,6.0,0,1.0,1,0.0
Graduate,6.0,13.33333333,6.0,12.66666667,106.5,1.0,7.0,133.1,32.0,7.0,8378.5,7.0,9.0,-1.7,12.7,39.0,37.0,3.7,37.0,6.0,6.0,1,1.0,0,0.0
Enrolled,7.0,13.29,7.0,13.29,120.0,1.0,11.0,130.0,25.0,11.0,9500.0,7.0,5.0,-3.12,9.4,39.0,37.0,-0.8,38.0,8.0,8.0,1,1.0,0,0.0
Enrolled,9.0,10.44444444,8.0,10.375,107.8,1.0,13.0,140.0,33.0,15.0,9991.0,10.0,3.0,0.32,7.6,43.0,37.0,2.6,37.0,10.0,10.0,0,1.0,0,0.0
Dropout,1.0,13.0,3.0,12.0,100.0,0.0,15.0,133.1,34.0,13.0,8378.5,0.0,0.0,-3.12,9.4,43.0,34.0,-0.8,34.0,7.0,7.0,0,1.0,0,0.0
Graduate,6.0,11.16666667,5.0,11.4,112.5,1.0,7.0,150.0,33.0,10.0,8378.5,0.0,0.0,0.32,7.6,39.0,34.0,2.6,34.0,6.0,6.0,0,1.0,0,0.0
Dropout,3.0,12.6,2.0,13.25,135.5,0.0,12.0,140.0,29.0,15.0,9991.0,8.0,9.0,-0.92,16.2,43.0,38.0,0.3,37.0,5.0,5.0,0,1.0,1,0.0
Dropout,0.0,6.8750000049999995,6.0,13.86166667,145.0,1.0,16.0,145.0,18.0,7.0,9500.0,10.0,4.0,1.79,12.4,1.0,1.0,0.5,1.0,8.0,7.0,0,1.0,0,0.0
Graduate,6.0,12.14285714,6.0,12.16666667,119.0,1.0,7.0,126.0,18.0,6.0,9773.0,7.0,7.0,-4.06,15.5,1.0,38.0,2.8,37.0,6.0,6.0,1,1.0,0,0.0
Graduate,6.0,14.5,4.0,13.75,130.0,1.0,15.0,130.0,34.0,16.0,9238.0,5.0,4.0,-0.92,16.2,7.0,19.0,0.3,37.0,6.0,6.0,0,1.0,0,0.0
Graduate,6.0,15.43333333,6.0,15.43333333,126.3,1.0,7.0,135.0,19.0,7.0,9500.0,8.0,9.0,0.32,7.6,1.0,37.0,2.6,38.0,7.0,7.0,1,3.5,0,0.0
Graduate,6.0,15.5,6.0,13.83333333,113.5,1.0,6.0,133.1,34.0,6.0,8378.5,9.0,9.0,2.02,11.1,39.0,37.0,0.6,37.0,6.0,6.0,1,1.0,0,0.0
Graduate,11.0,11.36363636,10.5,11.83333333,120.0,1.0,15.0,120.0,34.0,16.0,9991.0,9.0,9.0,-1.7,12.7,43.0,37.0,3.7,37.0,10.0,10.0,0,1.0,0,0.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,111.3,1.0,8.0,120.0,32.0,7.0,9556.0,5.0,5.0,-0.92,16.2,17.0,37.0,0.3,37.0,8.0,7.0,0,2.0,0,0.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,130.2,1.0,0.0,147.0,18.0,1.0,9238.0,0.0,4.0,1.74,10.8,18.0,34.0,1.4,38.0,6.0,2.0,0,1.0,0,0.0
Enrolled,8.0,12.625,7.0,12.33333333,140.2,1.0,8.0,149.0,20.0,9.0,9556.0,8.0,4.0,-1.7,12.7,43.0,1.0,3.7,1.0,8.0,7.0,0,1.0,0,0.0
Graduate,6.0,12.16666667,6.0,11.16666667,113.9,1.0,6.0,124.0,20.0,6.0,9070.0,9.0,9.0,0.32,7.6,1.0,37.0,2.6,37.0,6.0,6.0,0,3.5,0,0.0
Graduate,6.0,12.42857143,6.0,14.66666667,99.0,1.0,8.0,133.1,23.0,6.0,9085.0,9.0,9.0,3.51,8.9,17.0,37.0,1.4,37.0,6.0,6.0,1,1.0,0,0.0
Enrolled,4.0,11.75,5.0,11.2,124.0,1.0,11.0,125.0,19.0,5.0,9147.0,9.0,4.0,1.74,10.8,1.0,19.0,1.4,1.0,5.0,5.0,0,2.0,0,0.0
Graduate,6.0,14.16666667,6.0,13.71428571,138.9,1.0,6.0,141.0,18.0,9.0,9238.0,10.0,9.0,0.79,13.9,1.0,38.0,-0.3,37.0,6.0,6.0,0,1.0,0,0.0
Graduate,5.0,11.44444444,5.0,12.8,130.0,1.0,10.0,131.0,19.0,5.0,9147.0,9.0,9.0,1.74,10.8,1.0,19.0,1.4,38.0,5.0,5.0,0,1.0,0,1.0
Graduate,5.0,11.8,4.0,13.25,120.8,1.0,11.0,118.0,20.0,9.0,9773.0,7.0,5.0,1.79,12.4,17.0,38.0,0.5,1.0,6.0,6.0,0,3.5,0,0.0
Dropout,6.0,13.78,6.0,13.78,127.8,1.0,10.0,129.0,19.0,10.0,9500.0,7.0,9.0,-3.12,9.4,1.0,19.0,-0.8,37.0,8.0,8.0,0,3.5,0,0.0
Graduate,7.0,15.11,7.0,15.11,126.0,1.0,8.0,136.0,19.0,8.0,9500.0,5.0,4.0,1.74,10.8,17.0,38.0,1.4,37.0,8.0,8.0,0,3.0,0,0.0
Graduate,5.0,11.2,4.0,11.0,126.0,1.0,8.0,134.0,18.0,10.0,9238.0,5.0,4.0,1.74,10.8,1.0,19.0,1.4,1.0,6.0,6.0,0,2.0,0,0.0
Graduate,7.0,15.79857143,7.0,15.79857143,138.5,1.0,8.0,153.0,20.0,8.0,9500.0,5.0,9.0,1.74,10.8,1.0,19.0,1.4,38.0,8.0,8.0,1,1.0,0,0.0
Graduate,8.0,15.6,7.0,13.77571429,119.4,1.0,8.0,119.0,20.0,7.0,9500.0,9.0,9.0,1.79,12.4,1.0,37.0,0.5,19.0,8.0,7.0,0,3.0,0,0.0
Graduate,7.0,12.16,7.0,12.16,101.5,1.0,11.0,140.0,24.0,11.0,9500.0,7.0,7.0,1.74,10.8,39.0,37.0,1.4,38.0,8.0,8.0,0,1.0,0,0.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,101.5,1.0,0.0,133.1,24.0,0.0,9556.0,7.0,7.0,1.74,10.8,39.0,37.0,1.4,38.0,7.0,7.0,0,2.0,0,0.0
Graduate,6.0,15.5,6.0,14.33333333,126.2,1.0,6.0,130.0,20.0,6.0,9773.0,7.0,2.0,1.79,12.4,17.0,1.0,0.5,2.0,6.0,6.0,0,2.0,0,0.0
Enrolled,3.0,13.33333333,6.0,11.83333333,129.8,1.0,6.0,128.0,20.0,6.0,9070.0,3.0,3.0,-3.12,9.4,1.0,19.0,-0.8,19.0,6.0,6.0,0,3.0,0,0.0
Enrolled,6.0,12.5,6.0,14.83333333,138.4,0.0,8.0,145.0,18.0,7.0,9085.0,9.0,3.0,3.51,8.9,1.0,37.0,1.4,38.0,6.0,6.0,0,1.0,0,0.0
Graduate,7.0,14.2,7.0,14.2,129.3,1.0,8.0,146.0,18.0,8.0,9500.0,9.0,9.0,-1.7,12.7,1.0,37.0,3.7,1.0,8.0,8.0,0,1.0,0,0.0
Graduate,5.0,13.2,5.0,12.2,113.1,1.0,5.0,119.0,21.0,6.0,9085.0,3.0,4.0,1.74,10.8,1.0,1.0,1.4,2.0,5.0,5.0,0,1.0,0,0.0
Graduate,5.0,13.66666667,4.0,13.0,144.3,1.0,9.0,160.0,18.0,10.0,9853.0,10.0,4.0,-3.12,9.4,17.0,38.0,-0.8,1.0,6.0,6.0,0,1.0,0,0.0
Graduate,7.0,12.48571429,7.0,12.48571429,141.0,1.0,8.0,144.0,19.0,8.0,9500.0,3.0,5.0,-1.7,12.7,17.0,1.0,3.7,19.0,8.0,8.0,1,3.5,0,0.0
Graduate,6.0,16.28571429,6.0,17.0,130.0,1.0,7.0,130.0,22.0,7.0,9085.0,4.0,4.0,2.02,11.1,7.0,1.0,0.6,1.0,6.0,6.0,0,1.0,0,0.0
Graduate,6.0,10.16666667,5.0,10.8,117.5,1.0,9.0,122.0,19.0,7.0,9238.0,7.0,7.0,3.51,8.9,17.0,19.0,1.4,19.0,6.0,6.0,0,3.0,0,0.0
Graduate,6.0,14.71666667,6.0,14.71666667,131.8,1.0,7.0,153.0,18.0,7.0,9500.0,9.0,9.0,0.32,7.6,1.0,37.0,2.6,37.0,7.0,7.0,0,3.0,0,0.0
Enrolled,5.0,11.4,2.0,13.5,133.7,1.0,11.0,147.0,19.0,10.0,9085.0,5.0,9.0,1.74,10.8,1.0,19.0,1.4,37.0,5.0,5.0,1,1.0,0,0.0
Enrolled,7.0,11.97142857,7.0,11.97142857,115.4,1.0,8.0,121.0,24.0,8.0,9500.0,5.0,5.0,-1.7,12.7,43.0,19.0,3.7,38.0,8.0,8.0,1,1.0,0,0.0
Enrolled,4.0,13.5,3.0,12.0,129.1,1.0,7.0,134.0,19.0,7.0,9085.0,5.0,9.0,0.32,7.6,1.0,19.0,2.6,38.0,5.0,5.0,0,3.0,0,0.0
Graduate,6.0,11.66666667,6.0,12.33333333,135.5,1.0,6.0,133.0,34.0,7.0,8378.5,2.0,5.0,1.74,10.8,1.0,38.0,1.4,38.0,6.0,6.0,0,1.0,0,0.0
Graduate,6.0,13.875,6.0,15.30769231,112.4,1.0,13.0,118.0,19.0,16.0,9085.0,9.0,9.0,-4.06,15.5,17.0,38.0,2.8,38.0,10.0,10.0,0,3.5,0,0.0
Graduate,6.0,12.66666667,6.0,12.66666667,130.8,1.0,7.0,137.0,18.0,7.0,9500.0,9.0,7.0,0.32,7.6,1.0,37.0,2.6,37.0,7.0,7.0,1,1.0,0,0.0
Graduate,8.0,14.44875,7.0,14.368,131.6,1.0,8.0,143.0,19.0,10.0,9500.0,5.0,9.0,-4.06,15.5,1.0,37.0,2.8,37.0,8.0,7.0,1,3.5,0,0.0
Graduate,7.0,12.08428571,7.0,12.08428571,140.8,1.0,8.0,123.0,25.0,8.0,9500.0,1.0,1.0,1.74,10.8,39.0,1.0,1.4,19.0,8.0,8.0,0,1.0,0,0.0
Enrolled,8.0,12.2,8.0,12.25,140.0,1.0,16.0,140.0,21.0,16.0,9085.0,9.0,2.0,1.79,12.4,44.0,38.0,0.5,3.0,10.0,10.0,0,1.0,0,0.0
Enrolled,5.0,11.6,5.0,12.2,114.2,1.0,10.0,118.0,18.0,10.0,9254.0,7.0,7.0,-0.92,16.2,1.0,37.0,0.3,37.0,6.0,6.0,0,1.0,0,0.0
Graduate,6.0,11.5,4.0,11.0,127.3,1.0,9.0,142.0,18.0,12.0,9238.0,7.0,4.0,-3.12,9.4,1.0,38.0,-0.8,34.0,6.0,6.0,1,1.0,0,0.0
Graduate,5.0,11.0,5.0,12.8,115.0,1.0,8.0,115.0,28.0,8.0,8378.5,7.0,9.0,-3.12,9.4,1.0,38.0,-0.8,38.0,6.0,6.0,0,1.0,0,0.0
Graduate,7.0,11.85714286,7.0,11.85714286,118.8,1.0,8.0,131.0,18.0,8.0,9500.0,5.0,5.0,-1.7,12.7,43.0,38.0,3.7,1.0,8.0,8.0,1,1.0,0,0.0
Graduate,5.0,13.0,6.0,12.28571429,125.0,1.0,10.0,130.0,34.0,8.0,9254.0,9.0,9.0,3.51,8.9,39.0,37.0,1.4,37.0,6.0,6.0,0,1.0,0,0.0
Dropout,4.0,13.5,3.0,12.33333333,111.5,1.0,11.0,133.1,18.0,11.0,9853.0,0.0,5.0,0.32,7.6,17.0,37.0,2.6,37.0,6.0,6.0,0,2.0,0,0.0
Graduate,4.0,11.4,4.0,11.25,124.2,1.0,12.0,134.0,21.0,11.0,9238.0,7.0,7.0,-4.06,15.5,17.0,19.0,2.8,38.0,6.0,6.0,1,1.0,0,0.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,130.0,1.0,0.0,130.0,34.0,0.0,9238.0,16.5,16.5,2.02,11.1,7.0,34.0,0.6,34.0,6.0,6.0,0,1.0,1,0.0
Dropout,1.0,16.0,2.0,16.0,120.0,1.0,3.0,133.1,32.0,3.0,9070.0,2.0,2.0,0.32,7.6,7.0,5.0,2.6,3.0,3.0,3.0,0,1.0,0,0.0
Graduate,6.0,11.0,6.0,11.66666667,110.0,1.0,7.0,114.0,29.0,10.0,8378.5,16.5,0.0,0.32,7.6,43.0,34.0,2.6,34.0,6.0,6.0,0,1.0,0,0.0
Enrolled,7.0,12.15,5.0,12.4,113.3,1.0,14.0,130.0,24.0,15.0,9556.0,8.0,9.0,1.79,12.4,39.0,38.0,0.5,19.0,8.0,7.0,0,1.0,0,0.0
Enrolled,8.0,11.8375,6.0,10.74444444,123.5,1.0,10.0,128.0,22.0,14.0,9556.0,8.0,7.0,-1.7,12.7,43.0,38.0,3.7,38.0,8.0,7.0,0,1.0,0,0.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,101.0,1.0,0.0,133.1,21.0,0.0,9238.0,3.0,1.0,-4.06,15.5,1.0,1.0,2.8,19.0,6.0,6.0,0,1.0,0,0.0
Dropout,4.0,12.5625,4.0,12.0,120.9,1.0,13.0,133.1,34.0,12.0,9500.0,10.0,9.0,2.02,11.1,39.0,38.0,0.6,37.0,7.0,7.0,0,1.0,0,0.0
Enrolled,2.0,10.0,4.0,12.75,154.6,0.0,15.0,140.0,34.0,12.0,9085.0,9.0,9.0,3.51,8.9,39.0,37.0,1.4,37.0,6.0,6.0,1,1.0,0,0.0
Enrolled,2.0,11.0,2.0,10.0,120.2,1.0,10.0,117.0,20.0,9.0,9147.0,9.0,9.0,0.32,7.6,1.0,37.0,2.6,37.0,5.0,5.0,0,1.0,0,0.0
